epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3250.09,2.21062,3.16615,2.55523,0.54827,0.14837,0.04117,0.01015,2.26961,3.31385,2.70296,0.00131905,0.00131905,0.00131905
43,3324.71,2.1945,3.1653,2.52378,0.57785,0.06098,0.05056,0.01375,2.29403,3.36262,2.72343,0.00130326,0.00130326,0.00130326
44,3399.32,2.17176,3.10425,2.51487,0.55769,0.10569,0.04119,0.0122,2.32315,3.32969,2.78438,0.00128722,0.00128722,0.00128722
45,3475.5,2.1897,3.1007,2.5069,0.55299,0.11992,0.05675,0.01643,2.26406,3.09728,2.68165,0.00127093,0.00127093,0.00127093
46,3550.01,2.15308,3.08561,2.4938,0.04287,0.12805,0.03437,0.00926,2.31567,3.32584,2.81519,0.00125442,0.00125442,0.00125442
47,3625.65,2.1657,3.1058,2.50429,0.57025,0.09553,0.05457,0.01673,2.29645,3.25452,2.72456,0.00123768,0.00123768,0.00123768
48,3700.53,2.16922,3.0767,2.50923,0.55442,0.09146,0.03686,0.01109,2.29079,3.42531,2.69109,0.00122072,0.00122072,0.00122072
49,3777.34,2.16863,3.14097,2.5187,0.55556,0.09146,0.04778,0.01277,2.27157,3.16884,2.67256,0.00120356,0.00120356,0.00120356
50,3853.09,2.17769,3.07736,2.48222,0.07014,0.0935,0.05645,0.0168,2.2122,3.2351,2.68466,0.00118621,0.00118621,0.00118621
51,3929.03,2.14721,3.03587,2.49776,0.07198,0.11382,0.0475,0.01254,2.30856,3.26092,2.74328,0.00116867,0.00116867,0.00116867
52,4003.8,2.15678,3.11052,2.49671,0.07552,0.11644,0.0514,0.01575,2.31439,3.26702,2.7435,0.00115095,0.00115095,0.00115095
53,4079.59,2.13913,3.03216,2.46579,0.08884,0.07927,0.0495,0.01399,2.23486,3.16341,2.71767,0.00113306,0.00113306,0.00113306
54,4154.15,2.12255,3.02305,2.48028,0.06359,0.10163,0.04233,0.0118,2.3177,3.26597,2.7758,0.00111502,0.00111502,0.00111502
55,4227.42,2.14405,3.03101,2.48159,0.07172,0.12805,0.05713,0.01684,2.28543,3.13453,2.73505,0.00109683,0.00109683,0.00109683
56,4301.71,2.12156,2.99906,2.46993,0.08019,0.11992,0.04987,0.01466,2.28005,3.1361,2.71818,0.00107849,0.00107849,0.00107849
57,4375.71,2.08901,2.95362,2.42232,0.08406,0.12195,0.06384,0.01774,2.26298,3.08232,2.74582,0.00106004,0.00106004,0.00106004
58,4449.86,2.10503,2.91612,2.43646,0.1084,0.13034,0.06036,0.01707,2.18542,3.23876,2.70961,0.00104146,0.00104146,0.00104146
59,4524.63,2.14364,2.94147,2.47178,0.11318,0.10833,0.07943,0.02196,2.25366,3.16299,2.72727,0.00102278,0.00102278,0.00102278
60,4600.87,2.12409,2.97557,2.45681,0.58322,0.11585,0.06652,0.02109,2.22082,3.02368,2.6588,0.00100399,0.00100399,0.00100399
61,4677.32,2.10443,2.96059,2.44903,0.06764,0.10366,0.04577,0.0124,2.27475,3.20077,2.77927,0.000985123,0.000985123,0.000985123
62,4749.69,2.10345,2.87899,2.43256,0.58972,0.12805,0.0566,0.01598,2.34585,3.30605,2.76995,0.000966176,0.000966176,0.000966176
63,4829.27,2.12256,2.8769,2.42735,0.57996,0.11382,0.0607,0.01686,2.33756,3.13207,2.69184,0.00094716,0.00094716,0.00094716
64,4902.73,2.08923,2.91712,2.44378,0.14372,0.15066,0.07788,0.02207,2.22124,3.07793,2.71474,0.000928088,0.000928088,0.000928088
65,4975.94,2.0726,2.85723,2.42063,0.08449,0.12398,0.06496,0.02023,2.2887,3.08127,2.7475,0.000908969,0.000908969,0.000908969
66,5050.12,2.0657,2.87113,2.41138,0.0821,0.13415,0.07654,0.02295,2.20989,2.99897,2.69985,0.000889814,0.000889814,0.000889814
67,5126.73,2.0599,2.83109,2.39195,0.10684,0.13211,0.07653,0.02048,2.29717,3.00699,2.73169,0.000870633,0.000870633,0.000870633
68,5201.25,2.063,2.80999,2.39324,0.12285,0.11992,0.06881,0.01994,2.26008,3.10342,2.69531,0.000851436,0.000851436,0.000851436
69,5275.12,2.06376,2.7902,2.40191,0.14406,0.11933,0.09509,0.02812,2.27067,3.10028,2.74419,0.000832234,0.000832234,0.000832234
70,5351.17,2.06058,2.7806,2.4009,0.58806,0.12602,0.06751,0.01833,2.3543,3.02638,2.78567,0.000813037,0.000813037,0.000813037
71,5430.46,2.07813,2.80992,2.39885,0.10329,0.12195,0.08041,0.02186,2.28683,3.04797,2.72086,0.000793856,0.000793856,0.000793856
72,5504.97,2.03403,2.78171,2.36778,0.08891,0.1455,0.07822,0.02115,2.29999,3.07288,2.73773,0.000774701,0.000774701,0.000774701
73,5577.41,2.02898,2.76251,2.36464,0.09847,0.11863,0.08215,0.02151,2.27739,3.16138,2.74515,0.000755582,0.000755582,0.000755582
74,5652.97,2.03052,2.73553,2.36799,0.12034,0.11789,0.083,0.02318,2.27198,3.01482,2.74393,0.00073651,0.00073651,0.00073651
75,5726.74,2.06388,2.73072,2.39293,0.61461,0.12398,0.08267,0.02414,2.28847,3.01075,2.75008,0.000717494,0.000717494,0.000717494
76,5801.95,2.06172,2.74758,2.39599,0.598,0.09756,0.07959,0.02259,2.33758,3.15928,2.79972,0.000698547,0.000698547,0.000698547
77,5877.61,2.01648,2.71125,2.37103,0.14829,0.13847,0.07436,0.02024,2.31591,3.05966,2.76373,0.000679676,0.000679676,0.000679676
78,5953.6,2.00004,2.6772,2.34753,0.61535,0.12805,0.07998,0.02288,2.35602,3.0002,2.75749,0.000660894,0.000660894,0.000660894
79,6029.98,2.04896,2.66356,2.37406,0.11495,0.12602,0.08575,0.02247,2.34949,2.98967,2.79959,0.00064221,0.00064221,0.00064221
80,6104.85,2.00173,2.64893,2.35787,0.12359,0.13415,0.08846,0.02322,2.31063,3.06025,2.7825,0.000623633,0.000623633,0.000623633
81,6178.87,1.98707,2.64417,2.34629,0.11436,0.11789,0.07521,0.02092,2.28165,3.08563,2.79183,0.000605175,0.000605175,0.000605175
82,6251.33,1.99716,2.65633,2.32645,0.08377,0.12602,0.07268,0.02136,2.33589,3.1211,2.8156,0.000586845,0.000586845,0.000586845
83,6324.75,1.98591,2.61092,2.33471,0.12905,0.13618,0.10407,0.0278,2.35431,2.98542,2.80107,0.000568653,0.000568653,0.000568653
84,6400.82,2.00112,2.62185,2.35607,0.12005,0.13211,0.0834,0.02296,2.29111,3.02908,2.74173,0.000550609,0.000550609,0.000550609
85,6475.81,1.97841,2.60853,2.33493,0.62968,0.12602,0.07977,0.02344,2.27749,3.07006,2.7528,0.000532723,0.000532723,0.000532723
86,6552.13,1.98592,2.57947,2.34457,0.15672,0.13643,0.09643,0.02602,2.30019,3.09125,2.78122,0.000515004,0.000515004,0.000515004
87,6624.73,1.95661,2.54202,2.33805,0.1268,0.11179,0.08333,0.02271,2.29644,3.01585,2.78637,0.000497462,0.000497462,0.000497462
88,6696.88,1.99483,2.58899,2.35243,0.15923,0.13847,0.09692,0.02564,2.37224,3.11343,2.8564,0.000480106,0.000480106,0.000480106
89,6769.38,1.96024,2.55693,2.32154,0.63357,0.12151,0.08705,0.02707,2.30673,3.03581,2.79381,0.000462947,0.000462947,0.000462947
90,6845.25,1.98359,2.55492,2.31662,0.13457,0.13008,0.08832,0.02595,2.3167,3.05687,2.77309,0.000445993,0.000445993,0.000445993
91,6918.88,1.9354,2.50665,2.2844,0.15674,0.14253,0.08902,0.02468,2.34419,3.10548,2.85726,0.000429253,0.000429253,0.000429253
92,6992.78,1.95075,2.51359,2.30239,0.16332,0.15879,0.09002,0.02521,2.35386,3.12796,2.81028,0.000412736,0.000412736,0.000412736
93,7064.52,1.93365,2.47577,2.28466,0.17883,0.18979,0.10981,0.02859,2.33976,3.05079,2.83174,0.000396452,0.000396452,0.000396452
94,7136.06,1.92994,2.45,2.27844,0.19044,0.19157,0.10771,0.02986,2.35346,3.0607,2.83837,0.000380409,0.000380409,0.000380409
95,7208.24,1.92018,2.436,2.24207,0.14923,0.12625,0.09109,0.02682,2.33245,3.05569,2.80895,0.000364615,0.000364615,0.000364615
96,7280.39,1.91606,2.43221,2.26079,0.1237,0.14431,0.09522,0.02697,2.36354,3.13018,2.81956,0.000349081,0.000349081,0.000349081
97,7355.55,1.91626,2.45239,2.26609,0.12861,0.17588,0.09275,0.02821,2.35956,3.02304,2.83611,0.000333813,0.000333813,0.000333813
98,7428.89,1.89957,2.40781,2.26104,0.17551,0.1466,0.0911,0.02712,2.33388,3.15631,2.80031,0.00031882,0.00031882,0.00031882
99,7502.07,1.91702,2.43288,2.29516,0.14032,0.17099,0.10444,0.02993,2.36009,3.02088,2.83385,0.00030411,0.00030411,0.00030411
100,7573.52,1.85293,2.37935,2.21483,0.16844,0.12398,0.10053,0.02761,2.39428,3.06612,2.85894,0.000289692,0.000289692,0.000289692
101,7647.04,1.91016,2.39258,2.23695,0.20724,0.13643,0.09483,0.0272,2.41005,3.03401,2.86219,0.000275572,0.000275572,0.000275572
102,7721.23,1.89644,2.36352,2.2401,0.18223,0.17327,0.09756,0.02816,2.43457,3.0789,2.8801,0.00026176,0.00026176,0.00026176
103,7792.51,1.91248,2.35811,2.22916,0.15135,0.15676,0.09546,0.02663,2.45555,3.04086,2.9311,0.000248261,0.000248261,0.000248261
104,7865.85,1.88927,2.37596,2.25271,0.12574,0.17505,0.09337,0.02752,2.41309,3.00266,2.87889,0.000235084,0.000235084,0.000235084
105,7938.47,1.85264,2.32116,2.20885,0.14664,0.16921,0.09416,0.02812,2.35577,3.05645,2.82982,0.000222235,0.000222235,0.000222235
106,8010.89,1.87043,2.3273,2.23569,0.1375,0.19766,0.1008,0.03045,2.38069,3.08278,2.83855,0.000209722,0.000209722,0.000209722
107,8083.55,1.84916,2.27137,2.18525,0.208,0.15295,0.10337,0.02998,2.38289,3.09413,2.86093,0.000197551,0.000197551,0.000197551
108,8157.01,1.86757,2.34256,2.21129,0.20748,0.15091,0.11057,0.03388,2.39239,3.10012,2.86996,0.000185729,0.000185729,0.000185729
109,8230.12,1.86787,2.30276,2.21213,0.2443,0.16717,0.11288,0.03445,2.37063,3.06953,2.84001,0.000174262,0.000174262,0.000174262
110,8303.05,1.84944,2.26556,2.20525,0.17217,0.17124,0.10615,0.02931,2.37077,3.07383,2.88294,0.000163157,0.000163157,0.000163157
111,8373.52,1.82171,2.29619,2.19311,0.21113,0.15904,0.10607,0.03392,2.375,3.07492,2.88886,0.00015242,0.00015242,0.00015242
112,8445.84,1.81436,2.23795,2.1757,0.24906,0.13465,0.10919,0.03178,2.40357,3.18122,2.87782,0.000142055,0.000142055,0.000142055
113,8518.13,1.8171,2.2549,2.18025,0.17967,0.16489,0.10339,0.02784,2.3961,3.11665,2.9096,0.00013207,0.00013207,0.00013207
114,8591.97,1.83323,2.27883,2.1998,0.20207,0.15701,0.10295,0.02931,2.41875,3.1198,2.91789,0.000122469,0.000122469,0.000122469
115,8664.3,1.82751,2.19899,2.15989,0.18602,0.15473,0.1053,0.02954,2.41761,3.09877,2.92007,0.000113258,0.000113258,0.000113258
116,8737.97,1.80865,2.21307,2.17352,0.16854,0.19563,0.11283,0.0304,2.39914,3.11743,2.90878,0.000104441,0.000104441,0.000104441
117,8811,1.82523,2.21694,2.16918,0.23914,0.15904,0.10936,0.03108,2.40743,3.14753,2.89505,9.6023e-05,9.6023e-05,9.6023e-05
118,8882.58,1.79136,2.21401,2.17047,0.20664,0.16514,0.10781,0.0301,2.4274,3.11628,2.91867,8.80093e-05,8.80093e-05,8.80093e-05
119,8954.56,1.81812,2.2338,2.19875,0.19057,0.1814,0.11175,0.03045,2.42999,3.10192,2.92326,8.04037e-05,8.04037e-05,8.04037e-05
120,9026.36,1.80128,2.23326,2.16149,0.18273,0.17734,0.10716,0.03074,2.42892,3.10473,2.9133,7.32105e-05,7.32105e-05,7.32105e-05
121,9098.92,1.81968,2.1678,2.16815,0.16227,0.17327,0.10848,0.03032,2.41245,3.10175,2.9203,6.64335e-05,6.64335e-05,6.64335e-05
122,9171.23,1.7786,2.17635,2.16175,0.191,0.18494,0.11095,0.02909,2.41499,3.09721,2.92394,6.00764e-05,6.00764e-05,6.00764e-05
123,9242.78,1.80079,2.17353,2.15054,0.16706,0.1875,0.11013,0.02897,2.42925,3.0767,2.94312,5.41427e-05,5.41427e-05,5.41427e-05
124,9315.3,1.78925,2.21457,2.16889,0.18018,0.17124,0.1111,0.02957,2.43216,3.09396,2.96085,4.86355e-05,4.86355e-05,4.86355e-05
125,9388.09,1.78454,2.15266,2.16056,0.18698,0.16921,0.11045,0.02936,2.44941,3.07011,2.97526,4.35578e-05,4.35578e-05,4.35578e-05
126,9459.22,1.7148,1.97149,2.12204,0.17137,0.17734,0.11255,0.0284,2.46047,3.05411,2.97658,3.89124e-05,3.89124e-05,3.89124e-05
127,9525.28,1.67181,1.88593,2.09745,0.17583,0.1753,0.11154,0.0283,2.45772,3.07857,2.98044,3.47018e-05,3.47018e-05,3.47018e-05
128,9592.38,1.67855,1.87238,2.10562,0.1579,0.1753,0.10824,0.02859,2.47198,3.09185,3.00699,3.09283e-05,3.09283e-05,3.09283e-05
129,9660.98,1.66543,1.8742,2.10667,0.1769,0.1753,0.11068,0.0301,2.47421,3.10819,3.00923,2.75939e-05,2.75939e-05,2.75939e-05
